text	label
where do i go the transfer my 401k	oos
what's the preparation time for spaghetti	oos
good talk, see you later	oos
i need the tow truck to be given my gps coordinates	oos
how long would a bus to the empire state building take	oos
how many pesos can i get for one dollar	oos
how long can i expect to wait for a restaurant table	oos
what do i need to get to put into homemade tortillas	oos
can i talk to someone about why there is a hold on my checking account	oos
make a purchase of doritos	oos
are there any places nearby i can rent a car at	oos
do you know where my phone is located now	oos
what do you do for fun	oos
tell me something funny about adulthood	oos
thats right	oos
is there traffic on bramble lane	oos
please look up the next holiday for me	oos
add dishes to my list	oos
on the speaker what song is playing	oos
tell me what the time is in dallas	oos
how many days so far have i taken off	oos
noodles need to cook for how long	oos
how's my amazon order doing	oos
tell me a joke about politicians	oos
is it safe to eat chicken that has been in the fridge since monday	oos
what is the definition of zesty	oos
do i have bananas on my shopping list, if not please add it	oos
i don't need toilet paper anymore; take it off my shopping list	oos
see you later	oos
what is the meaning of hyperactive	oos
is there a conversion plug if you travel to australia	oos
hi what's up	oos
can you help me hunt for my missing cellphone	oos
tell me the status of my day off request	oos
has my online order shipped yet	oos
what time is it in the pacific standard time	oos
i want to know the ingredients for making pizza	oos
on feb 3rd i changed my tires are they still good	oos
tell me the current exchange rate between cad and euros	oos
convert my credit card points to cash	oos
tell me the meaning of condemnation	oos
order a disney gift card in the amount of five hundred dollars from costco	oos
you sound like a bot	oos
heads or tails i choose tails	oos
yes that is right	oos
can you tell me the meaning of fluctuate	oos
alert my bank and let them know that i'm travelling to switzerland	oos
when should i change this oil	oos
how do i get a personal w2 form	oos
please book me a place to stay in phoenix from the 5th to the 9th of march	oos
i want a lesson on changing my oil	oos
what does my checking account at chase earn in interest	oos
what percentage do i pay in taxes	oos
how many gallons do i have left in my gas tank	oos
i need to make an appointment for an oil change, please	oos
i got to report fraudulent activity on my credit card	oos
i have used how much pto so far	oos
what's the estimated travel time to get to dc via bus	oos
i'm calling you rupert from now on	oos
i need to know the status of my alaska air flight	oos
can you read my to do list to me please	oos
i apprecaite the help from you	oos
please tell me your date of birth	oos
can you get me more checkbooks for my southern account	oos
my name is nick	oos
my disney visa card is stolen	oos
what do i have on my reminder list	oos
i want to know how many vacation days i have used	oos
do i need an international visa to go to mexico	oos
who has the tax form that has my wage informaton	oos
do one coin flip; it will be tails	oos
tell me flight dl123's statud	oos
i replaced my tires on may 2, so when should i replace them next	oos
do i have carrots on my shopping list	oos
yeah, that's how it is	oos
do i need a visa to spain	oos
